case_id,source_case_id,family_id,sector_skin,render_profile,hop_depth,v5a_pilot_bucket,claude_sonnet_4_5_task_passed,claude_sonnet_4_5_run2a_pass,claude_sonnet_4_5_run2b_pass,claude_sonnet_4_5_citation_key_delta,claude_sonnet_4_6_task_passed,claude_sonnet_4_6_run2a_pass,claude_sonnet_4_6_run2b_pass,claude_sonnet_4_6_citation_key_delta,deepseek_v3_2_task_passed,deepseek_v3_2_run2a_pass,deepseek_v3_2_run2b_pass,deepseek_v3_2_citation_key_delta,gpt_5_4_task_passed,gpt_5_4_run2a_pass,gpt_5_4_run2b_pass,gpt_5_4_citation_key_delta,gemini_2_5_flash_task_passed,gemini_2_5_flash_run2a_pass,gemini_2_5_flash_run2b_pass,gemini_2_5_flash_citation_key_delta,gemini_2_5_pro_task_passed,gemini_2_5_pro_run2a_pass,gemini_2_5_pro_run2b_pass,gemini_2_5_pro_citation_key_delta,qwen3_next_80b_a3b_thinking_task_passed,qwen3_next_80b_a3b_thinking_run2a_pass,qwen3_next_80b_a3b_thinking_run2b_pass,qwen3_next_80b_a3b_thinking_citation_key_delta,google_gemma-4-26b-a4b_task_passed,google_gemma-4-26b-a4b_run2a_pass,google_gemma-4-26b-a4b_run2b_pass,google_gemma-4-26b-a4b_citation_key_delta,task_pass_model_count,run2a_pass_model_count,run2b_pass_model_count,scaffold_model_count,reverse_scaffold_model_count,both_fail_model_count,all_models_task_passed,all_models_task_failed
CUCV5-CONFLICT-RECONCIL-05-SECURITY-INCIDENT,CUCV4-CONFLICT-RECONCIL-05-SECURITY-INCIDENT,conflict_reconciliation,security_incident,board_update_v1,2,grounding_heavy,True,True,True,8,True,True,True,5,True,True,True,10,True,True,True,9,True,True,True,9,True,True,True,8,True,True,True,6,True,True,True,8,8,8,8,0,0,0,True,False
CUCV5-CONFLICT-RECONCIL-06-LEGAL-CONTRACT,CUCV4-CONFLICT-RECONCIL-06-LEGAL-CONTRACT,conflict_reconciliation,legal_contract,legal_formal_v1,2,grounding_heavy,False,True,False,8,True,True,True,5,True,True,True,4,True,True,True,9,True,True,True,10,True,True,True,1,True,True,True,0,True,True,True,9,7,8,7,1,0,0,False,False
CUCV5-CONFLICT-RECONCIL-07-PROCUREMENT-REVIEW,CUCV4-CONFLICT-RECONCIL-07-PROCUREMENT-REVIEW,conflict_reconciliation,procurement_review,procurement_memo_v1,2,grounding_heavy,True,True,True,10,True,True,True,5,False,True,False,6,True,True,True,9,True,True,True,6,True,True,True,10,True,True,True,9,True,True,True,8,7,8,7,1,0,0,False,False
CUCV5-CONFLICT-RECONCIL-08-COMPLIANCE-AUDIT,CUCV4-CONFLICT-RECONCIL-08-COMPLIANCE-AUDIT,conflict_reconciliation,compliance_audit,compliance_memo_v1,2,grounding_heavy,False,True,False,8,True,True,True,4,True,True,True,9,True,True,True,9,True,True,True,1,True,True,True,8,False,False,True,9,True,True,True,8,6,7,7,1,1,0,False,False
CUCV5-CONFLICT-RECONCIL-109-SECURITY-INCIDENT,CUCV4-CONFLICT-RECONCIL-109-SECURITY-INCIDENT,conflict_reconciliation,security_incident,board_update_v1,3,grounding_heavy,True,True,True,7,True,True,True,5,True,True,True,6,True,True,True,9,True,True,True,10,False,True,False,8,True,True,True,11,True,True,True,10,7,8,7,1,0,0,False,False
CUCV5-CONFLICT-RECONCIL-110-LEGAL-CONTRACT,CUCV4-CONFLICT-RECONCIL-110-LEGAL-CONTRACT,conflict_reconciliation,legal_contract,legal_formal_v1,3,grounding_heavy,True,True,True,10,True,True,True,5,True,True,True,4,True,True,True,9,True,True,True,7,True,True,True,11,True,True,True,10,,,,,7,7,7,0,0,0,True,False
CUCV5-CONFLICT-RECONCIL-111-PROCUREMENT-REVIEW,CUCV4-CONFLICT-RECONCIL-111-PROCUREMENT-REVIEW,conflict_reconciliation,procurement_review,procurement_memo_v1,3,grounding_heavy,False,True,False,10,True,True,True,5,True,True,True,9,True,True,True,9,True,True,True,9,True,True,True,9,True,True,True,9,True,True,True,9,7,8,7,1,0,0,False,False
CUCV5-CONFLICT-RECONCIL-112-COMPLIANCE-AUDIT,CUCV4-CONFLICT-RECONCIL-112-COMPLIANCE-AUDIT,conflict_reconciliation,compliance_audit,compliance_memo_v1,3,grounding_heavy,True,True,True,9,True,True,True,5,True,True,True,10,True,True,True,9,True,True,True,5,True,True,True,11,,,,,True,True,True,9,7,7,7,0,0,0,True,False
CUCV5-CONFLICT-RECONCIL-29-SECURITY-INCIDENT,CUCV4-CONFLICT-RECONCIL-29-SECURITY-INCIDENT,conflict_reconciliation,security_incident,board_update_v1,2,grounding_heavy,False,True,False,7,True,True,True,5,False,True,False,7,True,True,True,9,True,True,True,9,False,True,False,10,True,True,True,9,True,True,True,2,5,8,5,3,0,0,False,False
CUCV5-CONFLICT-RECONCIL-30-LEGAL-CONTRACT,CUCV4-CONFLICT-RECONCIL-30-LEGAL-CONTRACT,conflict_reconciliation,legal_contract,legal_formal_v1,2,grounding_heavy,False,True,False,10,True,True,True,6,False,True,False,9,True,True,True,9,False,True,False,8,False,True,False,11,False,False,True,13,True,True,True,6,3,7,4,4,1,0,False,False
